"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"9X-Bayshore Express to Geneva & Mission Weekday",,,,,,,,,,,,,,,,,,,,,
"Visitacion Ave&Bay Shore Blvd N-FS","44","60","2524","10","9","655","14","34","1016","5","8","465","0","1","24","9","5","200","6","3","164"
"Visitacion Ave&Rutland St E-NS","127","188","2463","47","17","685","56","99","973","14","36","443","1","4","21","3","15","188","6","17","153"
"Visitacion Ave&Schwerin St E-NS","140","177","2426","50","39","696","39","71","941","33","37","439","1","1","21","8","18","178","9","11","151"
"Visitacion Ave&Britton St E-NS","53","90","2389","23","4","715","19","39","921","4","27","416","0","2","19","3","8","173","4","10","145"
"Visitacion Ave&Sawyer St E-NS","88","148","2329","26","23","718","32","75","878","19","39","396","0","1","18","2","10","165","9","0","154"
"Hahn St&Visitacion Ave SW-FS","3","7","2325","2","0","720","1","2","877","0","3","393","0","0","18","0","1","164","0","1","153"
"Hahn St&Sunnydale Ave N-NS","142","89","2378","58","8","770","53","37","893","13","23","383","3","1","20","5","9","160","10","11","152"
"Sunnydale Ave&Santos St NE-NS","33","40","2371","13","4","779","13","13","893","3","12","374","0","1","19","2","5","157","2","5","149"
"Santos St&Brookdale Ave SW-FS","69","54","2386","24","5","798","26","19","900","10","15","369","0","0","19","6","10","153","3","5","147"
"Santos St&Velasco Ave N-NS","118","67","2437","52","14","836","45","22","923","11","16","364","2","0","21","2","10","145","6","5","148"
"Geneva Ave&Santos St N-FS/BZ","516","113","2840","263","33","1066","151","33","1041","59","16","407","1","6","16","20","15","150","22","10","160"
"Geneva Ave&Carter St NE-NS/BZ","208","66","2982","105","9","1162","70","27","1084","16","18","405","0","3","13","6","6","150","11","3","168"
"1721 Geneva Ave NE-MB","80","23","3039","48","2","1208","21","9","1096","6","5","406","0","0","13","0","6","144","5","1","172"
"1650 Geneva Ave N-FS","9","16","3032","6","2","1212","3","8","1091","0","5","401","0","0","13","0","1","143","0","0","172"
"Geneva Ave&Prague St E-NS/BZ","51","144","2939","32","48","1196","16","55","1052","1","27","375","0","0","13","1","8","136","1","6","167"
"Geneva Ave&Moscow St N-FS/BZ","78","63","2954","53","8","1241","19","30","1041","3","18","360","0","1","12","1","4","133","2","2","167"
"Geneva Ave&Naples St E-NS/BZ","168","121","3001","102","16","1327","33","61","1013","17","32","345","0","0","12","5","6","132","11","6","172"
"Geneva Ave&Madrid St N-FS/BZ","151","63","3089","90","20","1397","44","24","1033","5","8","342","1","0","13","3","4","131","8","7","173"
"Geneva Ave&Paris St E-NS","73","135","3027","46","38","1405","15","58","990","6","33","315","0","1","12","3","3","131","3","2","174"
"Geneva Ave&Mission St E-NS","575","904","2698","294","292","1407","176","365","801","47","142","220","1","2","11","24","58","97","33","45","162"
"Geneva Ave&Cayuga Ave E-NS/BZ","91","97","2692","64","57","1414","16","25","792","7","10","217","0","0","11","1","3","95","3","2","163"
"Geneva Ave&Delano Ave N-FS/BZ","10","68","2634","6","31","1389","3","24","771","0","10","207","0","0","11","0","1","94","1","2","162"
"Geneva Balboa Bart Station NE-MB/BZ","284","1838","1080","129","1011","507","84","483","372","28","132","103","5","6","10","29","62","61","9","144","27"
"Geneva Ave&Howth St E-NS/BZ","4","336","748","2","185","324","1","129","244","0","17","86","0","0","10","1","3","59","0","2","25"
"Phelan Loop N-MB/FL","0","740","8","0","320","4","0","244","0","0","86","0","0","10","0","0","57","2","0","23","2"
"Total Passenger Boardings ","10071","11714",,"2962","3410",,"3939","4586",,"1635","2003",,"129","145",,"814","901",,"592","669",
"Subject to disclaimer at www.sfmta.com/tepdata"
,,,,,,,,,,,,,,,,,,,,,

